Disorder,Criteria
Hyperactivity Disorder,"anxiety, attention, avoidance, behavior, behavioral, behaviors, deficit, fear, hyperactivity, panic, psychosis, speech, suicidality, text, to"
Delusional Disorder,"behavior, delusional, delusions, depression, disorganized, hallucinations, manic, mood, psychosis, speech, suicidal"
Schizophreniform Disorder,"anxiety, behavior, behavioral, behaviors, delusional, delusions, depression, disorganized, emotional, flashbacks, hallucinations, hyperactivity, impulsivity, manic, mood, obsessions, panic, pseudo, psychosis, speech, suicidal"
Schizoaffective Disorder,"anxiety, delusional, delusions, depression, hallucinations, hispanic, manic, mood, psychosis, stabilizing"
Psychotic Disorder,"agitation, behavior, behavioral, behaviors, delusional, delusions, depression, hallucinations, harm, psychosis, self, withdrawal"
Mental Disorder (Catatonia Specifier),"agitation, delusional, delusions, hallucinations, manic, mood, psychosis, speech"
Cyclothymic Disorder,"agitation, anxiety, attention, behavior, congruent, deficit, delusional, delusions, depression, e, fatigue, fear, hallucinations, hyperactivity, hypomanic, hypomanie, iii, imanic, incon, incongruent, insomnia, irritability, manic, mood, moody, paranoia, sjonptoms, suicidal, withdrawal"
Depressive Disorder,"agitation, anxiety, apathy, avoidance, behavior, behavioral, behaviors, compulsions, congruent, delusional, delusions, depression, fatigued, fear, feared, fearful, fears, hallucinations, hispanic, hypomanic, impulsivity, incongruent, insomnia, irritability, like, manic, mood, non, obsessions, panic, speech, suicidal, withdrawal"
Panic Disorder,"anxiety, apathy, avoidance, behavior, behavioral, behaviors, delusional, depression, fatigued, fear, feared, fears, irritability, like, mood, obsessional, obsessions, panic, worry"
Anxiety Disorder,"anxiety, mood, panic, speech, withdrawal"
Hoarding Disorder,"anxiety, attention, avoidance, based, behavior, behavioral, behaviors, compulsions, deficit, delusion, delusional, delusions, depression, dissociation, fear, fearful, fearfulness, flashbacks, hallucination, hallucinations, hyperactivity, impulsivity, irritability, like, mood, nondelusional, nonsuicidal, obsession, obsessional, obsessions, panic, pseudo, suicidal, withdrawal"
"Dissociative identity Disorder
Impairment varies widely, from apparently minimal (e.g., in high-functioning profession­","anxiety, apathy, avoidance, behavior, behavioral, behaviors, compulsions, delusional, delusions, depression, dissociation, fatigue, fear, feared, fears, flashbacks, inattention, mood, obsessional, obsessions, panic, speech, suicidal, withdrawal"
"Conversion Disorder 
(Functional Neurological Symptom Disorder)","anxiety, behavior, behavioral, behaviors, depression, exacerbating, fatigue, panic, psychosis, speech, tremors"
Factitious Disorder,"behavior, behaviors, nonsuicidal"
Rumination Disorder,"anxiety, attention, avoidance, behavior, behavioral, behaviors, compulsions, deficit, delusional, depression, fear, fears, hyperactivity, impulsivity, insomnia, irritability, mood, obsessional, obsessions, restriction, speech, withdrawal"
Insomnia Disorder,"behavior, behaviorally, depression, fatigue, hyperactivity"
Erectile Disorder,"anxiety, attention, avoidance, behavior, behavioral, behaviorally, behaviors, deficit, delusion, delusions, depression, fear, hyperactivity, irritability, misbehavior, mood, suicidal, withdrawal"
Conduct Disorder,"anxiety, attention, behavior, behavioral, behaviorial, behaviors, deficit, delusion, delusions, fear, fearlessness, fears, hallucination, hallucinations, hyperactivity, irritability, manic, mood, suicidal"
Neurocognitive Disorder Due to Alzheimer’s Disease,"apathy, behavior, behavioral, behaviors, delusional, delusions, depression, hallucinations, speech, variant"
Neurocognitive Disorder With Lewy Bodies,"anxiety, apathy, behavioral, depression, fatigue, hallucinations, irritability, mood, neurobehavioral"
Neurocognitive Disorder Due to Traumatic Brain injury,"anxiety, apathy, behavioral, behaviors, depression, irritability, withdrawal"
Neurocognitive Disorder Due to HIV infection,"anxiety, apathy, behavior, behavioral, delusions, depression, fatigue, impulsivity, insomnia, irritability, mood, psychosis, speech, withdrawal"
Neurocognitive Disorder Due to Huntington’s Disease,"anxiety, anxious, apathy, attention, avoidance, behavior, behavioral, behaviors, compulsions, deficit, delusional, delusions, depression, fear, fearful, fears, hallucinations, hyperactivity, impulsivity, inattention, irritability, manic, mood, panic, provoking, speech, suicidal, suicidality, withdrawal"
Voyeuristic Disorder,"anxiety, attention, behavior, behaviors, deficit, hyperactivity, impulsivity, obsessions"
Frotteuristic Disorder,"anxiety, behavior, behaviors, impulsivity, obsessions"
Pedophilic Disorder,"behavior, behaviors"
Transvestic Disorder,"apathy, attention, avoidance, behavior, behavioral, behaviors, deficit, fear, for, harm, hyperactivity, impulsivity, insomnia, mood, psychosis, self, withdrawal"
Neurobehavioral Disorder Associated With,"anxiety, avoidance, behavior, behaviors, fear, fearful, fears, harming, impulsivity, irritability, mood, moods, panic, self, speech, suicidal, withdrawal"
Personality Disorder—Trait Specified,"anxiety, avoidance, behavior, behavioral, behaviors, depression, dissociation, harm, self, withdrawal"
Personality Disorder Sooring Algorithms,"agitation, anxiety, attention, avoidance, behavior, behavioral, behaviors, deficit, delusional, delusions, depression, disorganized, fatigue, fear, hallucinations, hyperactivity, insomnia, irritability, like, manic, mood, panic, psychosis, speech, suicidal, tion, withdrawal"
Neurobehavioral Disorder Associated,"agitation, anxiety, attention, behavior, behavioral, behaviors, cognitive, deficit, depression, disorganized, flashbacks, harm, hyperactivity, irritability, mood, neurobehavioral, nonsuicidal, panic, self, suicidal, withdrawal"
